icFbackMarker,blineStop,circleMarker,cRespMarker,cResponse,cFback,trigStimulator,preCueStop,portStop,preCueStart,cue,cType,cueMarker,icFback,prepRespStop,icRespMarker,cFbackMarker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,buttonBox_Response.keys,buttonBox_Response.corr,buttonBox_Response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,2017_Mrz_06_1257,60.0008512424,cfc_SPP1665_Learning,2,20,
16,1,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,0,0,65,3,0,0.333314115245,2017_Mrz_06_1257,60.0008512424,cfc_SPP1665_Learning,2,20,
12,1,5,6,3,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,1,1,22,3,1,0.316592566343,2017_Mrz_06_1257,60.0008512424,cfc_SPP1665_Learning,2,20,
12,1,5,6,3,stim_v01/WinPos.png,160,2.1,11,9,stim_v06/2.png,GoWin,1,stim_v01/WinNeu.png,1,9,10,0,2,2,0,3,1,0.349945711414,2017_Mrz_06_1257,60.0008512424,cfc_SPP1665_Learning,2,20,
12,1,5,6,3,stim_v01/WinPos.png,160,1.1,11,10,stim_v06/2.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,3,3,11,3,1,0.466596294249,2017_Mrz_06_1257,60.0008512424,cfc_SPP1665_Learning,2,20,
13,0.5,5,6,3,stim_v01/WinNeu.png,160,2.1,11,9,stim_v06/2.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,4,4,13,3,1,0.483258377755,2017_Mrz_06_1257,60.0008512424,cfc_SPP1665_Learning,2,20,
17,1,5,8,None,stim_v01/WinNeu.png,160,1.1,11,10,stim_v06/4.png,NoGoWin,3,stim_v01/WinPos.png,1,7,15,0,5,5,59,3,0,0.399968788213,2017_Mrz_06_1257,60.0008512424,cfc_SPP1665_Learning,2,20,
12,1,5,6,3,stim_v01/WinPos.png,96,2.1,10,8,stim_v06/2.png,GoWin,1,stim_v01/WinNeu.png,2,9,10,0,6,6,5,3,1,0.416604610349,2017_Mrz_06_1257,60.0008512424,cfc_SPP1665_Learning,2,20,
16,1,5,8,None,stim_v01/WinPos.png,96,2.1,10,8,stim_v06/4.png,NoGoWin,3,stim_v01/WinNeu.png,1,7,14,0,7,7,45,None,1,,2017_Mrz_06_1257,60.0008512424,cfc_SPP1665_Learning,2,20,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,2.1,11,9,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,2,7,14,0,8,8,67,3,0,0.566595962209,2017_Mrz_06_1257,60.0008512424,cfc_SPP1665_Learning,2,20,
13,0.5,5,6,3,stim_v01/WinNeu.png,96,1.1,10,9,stim_v06/2.png,GoWin,1,stim_v01/WinPos.png,2,9,11,0,9,9,19,3,1,0.499888464648,2017_Mrz_06_1257,60.0008512424,cfc_SPP1665_Learning,2,20,
12,0.5,5,6,3,stim_v01/AvoNeu.png,96,1.1,10,9,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeg.png,1,9,10,0,10,10,23,None,0,,2017_Mrz_06_1257,60.0008512424,cfc_SPP1665_Learning,2,20,
13,0.5,5,6,3,stim_v01/AvoNeg.png,160,1.1,11,10,stim_v06/3.png,GoAvo,2,stim_v01/AvoNeu.png,1,9,11,0,11,11,39,3,1,0.349925788996,2017_Mrz_06_1257,60.0008512424,cfc_SPP1665_Learning,2,20,
16,0.5,5,8,None,stim_v01/AvoNeu.png,160,1.1,11,10,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeg.png,1,7,14,0,12,12,62,None,1,,2017_Mrz_06_1257,60.0008512424,cfc_SPP1665_Learning,2,20,
17,0.5,5,8,None,stim_v01/AvoNeg.png,160,2.1,11,9,stim_v06/1.png,NoGoAvo,4,stim_v01/AvoNeu.png,2,7,15,0,13,13,78,None,1,,2017_Mrz_06_1257,60.0008512424,cfc_SPP1665_Learning,2,20,
